FoodName,Spiselig del %,Vann,Kilojoule kJ,Kilokalorier kcal,Fett,Mettet,C12:0 g,C14:0,C16:0,C18:0,Trans,Enumettet,C16:1 sum,C18:1 sum,Flerumettet,C18:2n-6,C18:3n-3,C20:3n-3,C20:3n-6,C20:4n-3,C20:4n-6,C20:5n-3 (EPA),C22:5n-3 (DPA),C22:6n-3 (DHA),Omega-3,Omega-6,Kolesterol mg,Karbohydrat,Stivelse,Mono+disakk,"Sukker, tilsatt",Kostfiber,Protein,Salt,Alkohol,Vitamin A RAE,Retinol µg,Beta-karoten µg,Vitamin D µg,Vitamin E alfa-TE,Tiamin mg,Riboflavin mg,Niacin mg,Vitamin B6 mg,Folat µg,Vitamin B12 µg,Vitamin C mg,Kalsium mg,Jern mg,Natrium mg,Kalium mg,Magnesium mg,Sink mg,Selen µg,Kopper mg,Fosfor mg,Jod µg
"Breiflabb, rå",34,84,272,64,0.1,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.02,0.03,0,25,0,0,0,0,0,15.8,0.2,0,80,80,0,1,0.5,0.03,0.06,2,0.23,12,0.8,0,5,0,82,342,19,0.3,30,0,160,14
"Brosme, rå",50,84,281,66,0.2,0,0,0,0.02,0.01,0,0,0,0.02,0.1,0,0,0,0,0,0,0.01,0,0.05,0.06,0.01,53,0,0,0,0,0,16.1,0.3,0,2,2,0,0,0.3,0.05,0.15,2.8,0.3,2,1,0,37,0.1,118,294,23,0.4,30,0,170,67
"Gjedde, rå",55,80,353,83,0.2,0,0,0,0.03,0.01,0,0,0.01,0.02,0.1,0,0,0,0,0,0,0.01,0,0.06,0.07,0,0,0,0,0,0,0,20.3,0.1,0,0,0,0,5.3,0.5,0.05,0.05,3,0.3,10,1.8,0,47,0.2,43,463,29,0.8,20,0.02,239,12
"Horngjel, rå",58,77,450,107,3.2,0.7,0,0.07,0.49,0.09,0,0.9,0.18,0.64,1.1,0.08,0.04,0,0,0.01,0.03,0.12,0.09,0.66,0.95,0.12,85,0,0,0,0,0,19.5,0.2,0,3,3,0,5.2,0.8,0,0.11,7.1,0.41,1,7.7,0,79,0.6,62,301,23,2.7,30,0.06,213,19
"Hvitting, rå",,81,333,79,0.6,0.1,0,0.01,0.09,0.02,0,0.2,0.01,0.06,0.2,0,0,0,0,0,0.01,0.08,0.01,0.18,0.27,0.02,50,0,0,0,0,0,18.3,0.1,0,3,3,0,0.7,0.2,0.05,0.05,2,0.18,12,0.8,0,50,0.3,50,370,24,0.5,25,,183,278
"Hyse, kolje, røkt, skiver, rå",65,80,357,84,0.6,0.1,0,0,0.07,0.02,0,0.1,0.01,0.05,0.2,0,0,0,0,0,0.01,0.06,0,0.14,0.21,0.01,59,0,0,0,0,0,19.7,1.1,0,0,0,0,0,0.7,0.1,0.13,5.7,0.2,7,2.1,0,22,0.2,420,240,23,0.4,33,0.03,148,196
"Hyse, kolje, rå",50,81,329,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,19.4,0.1,0,0,0,0,1.5,0.4,0.05,0.05,5,0.34,12,1.7,0,7,0.1,46,523,26,0.3,30,0,199,112
"Håbrann, rå",,79,360,85,0.4,0.1,0,0.01,0.06,0.01,0,0.1,0.01,0.07,0.2,0.01,0,0,0,0,0.01,0.03,0.01,0.07,0.12,0.02,52,0,0,0,0,0,20.3,0.4,0,0,0,0,0.3,0.6,0.08,0.1,7,0.6,3,3,0,9,0.5,160,242,19,0.4,30,0,200,42
"Lange, rå",40,80,305,72,0.2,0,0,0,0.02,0,0,0,0,0.01,0.1,0,0,0,0,0,0,0.01,0,0.04,0.05,0,46,0,0,0,0,0,17.5,0.2,0,2,2,0,3.4,0.3,0.05,0.08,2.3,0.3,7,0.5,0,28,0.2,72,360,24,0.4,30,0,200,66
"Lomre, rå",50,81,283,67,0.3,0,0,0.01,0.03,0.01,0,0.1,0.02,0.03,0.1,0,0,0,0,0,0,0.03,0.01,0.02,0.06,0.01,47,0,0,0,0,0,16,0.2,0,0,0,0,0,0.5,0.15,0.08,4.3,0.15,13,1,0,26,0.1,99,353,22,0.3,40,0,190,23
"Lyr, rå",50,82,279,66,0.2,0,0,0,0.02,0,0,0,0,0.01,0.1,0,0,0,0,0,0,0.01,0,0.04,0.05,0,40,0,0,0,0,0,16,0.2,0,2,2,0,2.2,0.7,0.05,0.1,1.9,0.2,3,1,0,8,0.1,65,385,23,0.3,30,0,220,697
"Pangasius, rå",,84,265,63,1.1,0.3,0,0.03,0.22,0.07,0,0.3,0.01,0.28,0.1,0.07,0.01,0,0,0,0,0,0.01,0.01,0.03,0.06,34,0,0,0,0,0,13.1,0.8,0,0,0,0,0,0.2,0.02,0.03,2,0.12,8,0.4,0,9,0.1,318,235,20,0.3,13,0.01,208,2
"Piggvar, rå",50,79,359,85,2.4,0.5,0,0.08,0.28,0.06,0,0.7,0.24,0.31,0.9,0.02,0.01,0,0,0.02,0.04,0.27,0.09,0.22,0.66,0.07,54,0,0,0,0,0,15.9,0.2,0,4,4,0,1.7,0.6,0.04,0.08,6.1,0.3,16,0.8,0,16,0.2,73,290,19,0.6,30,0,160,35
"Rødspette, rå",58,81,382,91,2.6,0.5,0,0.04,0.34,0.06,0,0.8,0.08,0.4,0.8,0.04,0.02,0,0,0.02,0.06,0.17,0.05,0.38,0.66,0.1,68,0,0,0,0,0,16.8,0.2,0,12,12,0,6,1.2,0.09,0.1,3.1,0.21,10,1.2,0,11,0.2,95,377,20,0.5,30,0.02,184,14
"Sei, rå",50,80,359,85,1.3,0.1,0,0.01,0.09,0.03,0,0.2,0.02,0.08,0.5,0.01,0.01,0,0,0.01,0.01,0.08,0.04,0.25,0.32,0.07,49,0,0,0,0,0,18.3,0.2,0,7,7,0,1,0.6,0.05,0.2,3.4,0.5,18,3.8,0,15,0.4,80,447,27,0.5,27,0.05,235,170
"Sik, rå",49,77,379,89,0.6,0.1,0,0.01,0.09,0.01,0,0.1,0.04,0.07,0.2,0.01,0,,,,,0.04,0.01,0.11,0.16,0,47,0,0,0,0,0,20.9,0.1,0,0,0,0,8,0.4,0.1,0.06,6.2,0.51,11,3.2,0,12,0.2,42,482,29,0.4,25,0.03,248,11
"Sjøtunge, rå",33,84,270,64,0.5,0.1,0,0.02,0.07,0.01,0,0.2,0.06,0.07,0.2,0,0,0,0,0,0.01,0.06,0.02,0.05,0.16,0.02,50,0,0,0,0,0,14.8,0.2,0,0,0,0,8,0.6,0.07,0.08,3.5,0.31,10,0.8,0,29,0.1,98,363,25,0.5,30,0.05,200,25
"Skate, rå",,85,245,58,0.2,0.1,0,0,0.02,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0.01,0,0.02,0.03,0,50,0,0,0,0,0,14,0.3,0,0,0,0,0,0.7,0.12,0.2,2,0.37,11,6,0,83,0.2,118,232,18,0.3,40,0,150,20
"Steinbit, rå",50,78,409,97,2.5,0.5,0,0.09,0.63,0.2,0,0.9,0.03,0.8,0.8,0.2,0,0,0,0,0.06,0,0,0.03,0.06,0.31,55,0,0,0,0,0,18.6,0.2,0,27,27,0,1.8,1.1,0.07,0.08,2.2,0.3,10,2,0,13,0.2,82,363,20,0.9,50,0.05,212,90
"Torsk, i skiver, rå",70,82,332,79,1,0.1,0,0.01,0.08,0.02,0,0.1,0.01,0.04,0.3,0,0,0,0,0,0.01,0.06,0.01,0.17,0.24,0.02,58,0,0,0,0,0,17.4,0.2,0,6,6,0,0.5,1.1,0.05,0.11,2,0.2,7,1.3,0,11,0.1,73,426,24,0.4,27,0.02,211,216
"Torsk, lettsaltet, rå",80,82,328,77,1,0.1,0,0.01,0.08,0.02,0,0.1,0.01,0.04,0.3,0,0,0,0,0,0.01,0.06,0.01,0.17,0.24,0.02,55,0,0,0,0,0,17.2,1.6,0,6,6,0,0.5,0.7,0.06,0.05,1.8,0.12,11,1.3,0,11,0.1,622,421,25,0.4,24,0.02,208,213
"Torsk, oppdrett, rå",,79,359,85,0.5,0.1,0,0.01,0.05,0.02,0,0.1,0.01,0.03,0.2,0.01,0,0,0,0,0.01,0.05,0.01,0.09,0.16,0.02,82,0,0,0,0,0,20,0.2,0,2,2,0,0.7,0.5,0.02,0.09,3.9,0.26,11,1,0,22,0.2,75,424,26,0.5,30,0.03,207,279
"Torsk, uspesifisert, rå",45,,335,79,0.9,0.1,0,0.01,0.08,0.02,0,0.1,0.01,0.04,0.3,0,0,0,0,0,0.01,0.06,0.01,0.16,0.23,0.02,58,0,0,0,0,0,17.7,0.2,0,5,5,0,0.5,0.7,0.05,0.05,2.1,0.13,11,1.3,0,12,0.1,73,426,25,0.4,23,0.02,210,223
"Torsk, vill, rå",45,82,332,79,1,0.1,0,0.01,0.08,0.02,0,0.1,0.01,0.04,0.3,0,0,0,0,0,0.01,0.06,0.01,0.17,0.24,0.02,56,0,0,0,0,0,17.4,0.2,0,6,6,0,0.5,0.7,0.06,0.05,1.9,0.12,11,1.3,0,11,0.1,73,426,24,0.4,24,0.02,211,216
"Tunfisk, makrellstørje, rå",58,74,445,105,1,0.3,0,0.01,0.17,0.07,0,0.2,0.02,0.1,0.4,0.01,0,0,0,0,0.02,0.04,0.01,0.25,0.3,0.06,41,0,0,0,0,0,24,0.1,0,372,372,0,1.6,1.2,0.16,0.16,9.1,1,15,4.8,0,11,2.3,40,475,39,0.6,200,0.1,266,17
"Uer, lettsaltet, rå",45,79,394,94,2.8,0.5,0,0.05,0.39,0.06,0,1.2,0.09,0.45,0.7,0.04,0.02,0,0,0.03,0.06,0.19,0.05,0.44,0.76,0.11,43,0,0,0,0,0,17.1,1.7,0,3,3,0,0,1.4,0.1,0.11,2,0.2,5,1,0,21,0.2,690,378,26,0.3,50,0.1,190,21
"Uer, rå",90,79,394,94,2.8,0.5,0,0.1,0.32,0.07,0,1.2,0.27,0.36,0.7,0.02,0.01,0,0,0.02,0.05,0.31,0.1,0.25,0.76,0.08,43,0,0,0,0,0,17.1,0.3,0,3,3,0,0,1.4,0.1,0.11,2,0.2,5,1,0,21,0.2,110,378,26,0.3,50,0.1,190,21
"Åbor, abbor, rå",45,80,359,85,0.6,0.1,0,0.01,0.08,0.02,0,0.1,0.03,0.05,0.2,0.01,0.01,0,0,0,0,0.03,0.01,0.12,0.17,0.01,78,0,0,0,0,0,19.8,0.1,0,15,15,0,21.4,0.7,0.15,0.11,5.3,0.47,12,3.5,0,16,0.2,33,389,27,0.5,44,0.02,219,12
"Breiflabb, filet, kokt",100,80,341,80,0.2,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0.03,0.05,0,42,0,0,0,0,0,19.8,0.3,0,120,120,0,1.5,0.8,0.03,0.07,2.3,0.27,14,1.1,0,8,0,116,428,27,0.5,45,0,227,21
"Hyse, kolje, kokt",,76,412,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,24.2,0.2,0,0,0,0,2.2,0.7,0.06,0.06,5.9,0.4,13,2.3,0,11,0.1,65,654,36,0.5,45,0,282,168
"Hyse, kolje, røkt, skiver, kokt",,75,452,107,0.9,0.2,0,0.01,0.1,0.02,0,0.2,0.01,0.07,0.3,0.01,0,0,0,0,0.01,0.09,0.01,0.21,0.32,0.02,98,0,0,0,0,0,24.6,1.5,0,0,0,0,0,1.2,0.13,0.15,6.7,0.23,8,2.8,0,37,0.2,595,300,33,0.7,50,0.04,210,294
"Klippfisk, saltet og tørket",75,35,1136,268,1.1,0.2,0,0.01,0.18,0.05,0,0.2,0.02,0.15,0.7,0.01,0,0,0,0,0.02,0.11,0.02,0.31,0,0.04,125,0,0,0,0,0,64.3,17,0,0,0,0,0.3,0.1,0.01,0.2,6.1,0.02,0,8.2,0,140,2.6,6809,,13,0.3,20,0.17,779,130
"Lutefisk, kokt",,88,231,55,0.9,0.1,0,0.01,0.08,0.02,0,0.1,0.01,0.06,0.3,0,0,0,0,0,0.01,0.05,0.01,0.14,0.2,0.02,49,0,0,0,0,0,11.7,0.1,0,8,8,0,1.4,0.6,0.04,0.03,1.1,0.07,7,1,0,10,0.1,36,263,17,0.3,17,0.01,145,219
"Lutefisk, tørr vare, rå",,88,211,50,0.7,0.1,0,0,0.05,0.01,0,0.1,0.01,0.04,0.2,0,0,0,0,0,0.01,0.03,0,0.1,0.14,0.01,34,0,0,0,0,0,10.9,0.1,0,7,7,0,1.2,0.4,0.04,0.03,1.1,0.07,7,0.9,0,7,0.1,30,245,14,0.2,13,0.01,119,170
"Rødspette, filet, kavringpanert, rå",100,67,634,151,4.4,1,0.02,0.05,0.83,0.19,0,1.4,0.09,1.18,1.3,0.48,0.05,0,0,0.02,0.06,0.12,0.03,0.28,0.51,0.57,86,11.6,11.3,0.3,0,1,15.3,0.4,0,29,29,0,4.5,1.7,0.12,0.15,3.3,0.23,23,1,0,21,0.7,159,325,26,0.8,24,0.06,198,14
"Rødspette, filet, kavringpanert, stekt i fett",100,58,982,235,13.7,3.6,0.35,0.33,1.74,0.77,0,5.4,0.14,5.14,3,1.94,0.4,0,0,0.02,0.06,0.11,0.03,0.27,0.85,2.01,94,12.1,11.8,0.3,0,2,15.2,0.4,0,57,56,15,5,2.1,0.1,0.14,3.1,0.19,19,0.9,0,23,0.6,174,288,24,0.8,25,0.06,186,15
"Rødspette, filet, kokt",100,82,358,85,2.8,0.6,0,0.05,0.4,0.07,0,1,0.09,0.47,0.9,0.04,0.02,0,0,0.03,0.07,0.2,0.06,0.46,0.79,0.12,81,0,0,0,0,0,15,0.2,0,13,13,0,6.4,1.4,0.08,0.08,2.6,0.18,8,1.1,0,13,0.2,96,337,20,0.5,32,0.02,186,15
"Rødspette, filet, melpanert, stekt i fett",100,73,591,141,6.5,1.6,0.14,0.16,0.75,0.3,0,2.5,0.1,2.09,1.6,0.69,0.17,0,0,0.02,0.06,0.17,0.05,0.38,0.82,0.75,74,3.1,3.1,0,0,0,17.5,0.2,0,24,23,6,6,1.4,0.09,0.1,3,0.18,9,1.1,0,13,0.2,100,348,21,0.5,32,0.03,181,15
"Rødspette, fylt, forfritert, fryst",100,62,856,205,12.9,3.8,0,0.44,3.46,0.7,,4.6,0.18,5.08,4.1,1.53,0.29,0,0,0,0,0.09,0.03,0.07,0.48,1.53,39,13.2,12.5,0.7,0,1,8.8,0.4,0,4,3,11,4.1,0.6,0.13,0.07,1.9,0.13,6,3.9,0,38,0.3,151,177,18,0.5,18,0.08,76,81
"Rødspette, panert, forfritert, fylt, ovnsstekt uten fett",100,61,932,223,13.6,4.3,0,0.5,3.98,0.81,0,5.3,0.2,5.84,4.7,1.76,0.33,0,0,0,0,0.1,0.03,0.08,0.56,1.76,45,15.2,14.4,0.8,0,1,9.6,0.4,0,4,3,11,4.1,0.6,0.11,0.07,1.8,0.13,6,4,0,44,0.3,148,173,19,0.6,21,0.09,79,93
"Rødspette, panert, forfritert, fylt, stekt i fett",100,56,1150,277,20.4,6,0.27,0.67,4.43,1.19,0,7.9,0.22,8.39,5.6,2.74,0.58,0,0,0,0,0.09,0.03,0.07,0.78,2.73,45,14,13.3,0.8,0,1,8.9,0.4,0,27,26,22,4.4,0.9,0.11,0.07,1.8,0.11,5,3.7,0,41,0.3,163,160,17,0.5,19,0.08,73,86
"Sei, filet, kavringpanert, rå",100,67,618,147,3.5,0.8,0.02,0.03,0.65,0.17,0,1,0.05,0.95,1.1,0.46,0.04,0,0,0.01,0.03,0.06,0.03,0.19,0.27,0.55,73,11.6,11.3,0.3,0,1,16.4,0.4,0,26,26,0,1,1.3,0.09,0.22,3.5,0.43,29,2.8,0,24,0.9,148,374,31,0.8,22,0.08,233,123
"Sei, filet, kavringpanert, stekt i fett",100,64,820,196,11,3,0.35,0.3,1.24,0.64,0,4.4,0.07,4.38,2.5,1.67,0.38,0,0,0.01,0.01,0.06,0.03,0.19,0.61,1.71,43,8.8,8.6,0.2,0,1,15.1,0.3,0,35,33,14,1.4,1,0.06,0.16,3.1,0.35,15,2.7,0,17,0.5,138,330,26,0.6,22,0.06,197,133
"Sei, filet, melpanert, stekt i fett",100,68,678,162,6.4,1.5,0.17,0.16,0.61,0.34,0,2.3,0.05,2.16,1.6,0.81,0.2,0,0,0.01,0.01,0.1,0.05,0.32,0.59,0.87,65,3.1,3,0,0,0,22.9,0.3,0,23,23,7,1.5,1,0.06,0.23,4,0.52,19,4.4,0,21,0.5,104,498,33,0.6,35,0.07,278,219
"Sei, filet, melpanert, stekt i hard margarin",100,68,658,157,5.8,1.8,0.5,0.22,0.35,0.56,0,1.8,0.02,1.62,1.3,0.51,0.22,0,0,0.01,0.01,0.1,0.05,0.31,0.59,0.59,63,3.1,3,0,0,0,22.9,0.3,0,33,32,10,1.7,1,0.06,0.23,4,0.52,19,4.4,0,20,0.5,121,498,33,0.6,35,0.07,278,219
"Sei, filet, melpanert, stekt i myk margarin",100,69,632,150,5.1,0.8,0.17,0.08,0.29,0.24,0,1.8,0.03,1.71,1.5,0.65,0.22,0,0,0.01,0.01,0.1,0.05,0.32,0.61,0.73,63,3.1,3,0,0,0,22.9,0.3,0,33,32,10,1.7,1,0.06,0.23,4,0.52,19,4.4,0,20,0.5,108,498,33,0.6,35,0.07,278,219
"Sei, filet, melpanert, stekt i smør",100,68,676,161,6.3,3.1,0.14,0.47,1.42,0.51,0.1,1.3,0.13,1.04,0.7,0.11,0.03,0,0,0.01,0.01,0.1,0.05,0.31,0.41,0.14,74,3.1,3,0,0,0,22.9,0.3,0,30,29,14,1.7,0.8,0.06,0.24,4,0.52,19,4.4,0,21,0.5,112,500,33,0.6,35,0.07,279,220
"Sei, filet, melpanert, stekt i soyaolje",100,67,712,170,7.3,0.8,0,0.01,0.55,0.18,0,3.2,0.04,3,2.4,1.57,0.24,0,0,0.01,0.01,0.1,0.05,0.32,0.63,1.64,63,3.1,3,0,0,0,22.9,0.2,0,8,8,0,1.2,1.1,0.06,0.23,4,0.52,19,4.4,0,20,0.5,87,498,33,0.6,35,0.07,278,219
"Sei, kokt",,75,461,109,2,0.2,0,0.02,0.14,0.05,0,0.2,0.03,0.12,0.7,0.02,0.02,0,0,0.02,0.02,0.12,0.06,0.38,0.48,0.11,82,0,0,0,0,0,22.8,0.3,0,11,11,0,1.4,1,0.06,0.23,4,0.58,21,5.1,0,25,0.5,113,559,38,0.8,41,0.08,333,255
"Sei, panert, fryst, First Price",100,60,793,189,7.1,0.6,0,0.01,0.37,0.14,0,4.9,0.02,4.76,1.5,1.01,0.22,0,0,0,0.01,0.06,0.01,0.2,0.5,1.03,44,16.2,14,2.2,0,1,14.3,0.5,0,1,1,0,0,1.1,0.09,0.11,1.4,0.12,8,1.9,0,11,0.5,180,280,22,0.5,15,0.07,160,66
"Sei, panert, fryst, kjøpt",100,63,765,182,7.6,0.7,0,0.01,0.42,0.15,0,4.9,0.03,4.72,2,1.28,0.39,0,0,0,0.01,0.07,0.01,0.2,0.69,1.3,40,13.5,11.8,1.7,0,1,14.6,0.6,0,1,1,0,0,1.5,0.09,0.11,1.8,0.14,12,2.1,0,16,0.5,225,305,27,0.5,19,0.06,185,79
"Sei, pankopanert, fryst, Lerøy",100,65,734,175,8,0.7,0,0.01,0.46,0.16,0,4.9,0.03,4.67,2.4,1.55,0.57,0,0,0,0.01,0.07,0.01,0.2,0.87,1.57,35,10.6,9.5,1.1,0,1,14.8,0.7,0,2,2,0,0,1.9,0.09,0.11,2.1,0.15,16,2.2,0,21,0.4,270,330,31,0.5,23,0.06,210,92
"Seibiff, melpanert, med forstekt løk, fryst, kjøpt",100,76,436,103,1.4,0.3,0,0.02,0.28,0.06,,0.2,0.01,0.45,0.9,0.12,0.02,0,0,0,0.01,0.07,0.01,0.22,0.32,0.13,48,6.7,6,0.7,0.4,1,15.6,0.5,0,10,10,5,0.7,0.6,0.15,0.21,2.5,0.15,14,5.4,0,14,0.2,195,331,25,0.5,20,0.06,192,83
"Seibiff, melpanert, med forstekt løk, kjøpt, stekt i fett",100,65,706,168,5.6,1.5,0.14,0.14,0.78,0.32,0,2,0.03,2.28,1.9,0.78,0.17,0,0,0,0.01,0.09,0.01,0.28,0.56,0.79,66,9,8.1,1,0.5,1,19.9,0.6,0,25,24,12,1.1,0.9,0.16,0.25,3,0.16,15,6.5,0,19,0.2,237,378,30,0.7,27,0.08,232,112
"Steinbit, filet, melpanert, stekt i fett",100,71,631,151,6.7,1.7,0.15,0.22,1.08,0.47,0,2.7,0.05,2.65,1.6,0.91,0.16,0,0,0,0.06,0,0,0.03,0.22,1.02,62,2.7,2.7,0,0,0,19.7,0.2,0,40,39,6,2.1,1.4,0.07,0.08,2.2,0.27,9,2,0,15,0.2,91,343,21,1,54,0.06,213,98
"Steinbit, kokt",100,73,534,127,3.8,0.8,0,0.14,1.05,0.33,0,1.5,0.05,1.33,1.3,0.33,0,0,0,0,0.1,0,0,0.05,0.1,0.52,92,0,0,0,0,0,23.3,0.3,0,41,41,0,2.7,1.8,0.09,0.09,2.6,0.35,12,2.7,0,22,0.3,116,454,28,1.5,75,0.08,300,135
"Torsk, filet, kavringpanert, rå",100,68,599,142,3.3,0.8,0.02,0.03,0.64,0.16,0,0.9,0.04,0.93,0.9,0.46,0.03,0,0,0,0.03,0.04,0.01,0.13,0.21,0.52,77,11.6,11.3,0.3,0,1,15.8,0.4,0,25,25,0,0.7,1.3,0.09,0.11,2.4,0.16,24,1.1,0,21,0.7,143,360,29,0.7,20,0.06,216,156
"Torsk, filet, kavringpanert, stekt i fett",100,60,881,210,10.5,2.9,0.29,0.25,1.39,0.63,0,4.1,0.08,4.12,2.3,1.63,0.32,0,0,0,0.03,0.04,0.01,0.13,0.5,1.68,86,12.3,12,0.3,0,2,15.9,0.4,0,47,46,12,1.2,1.6,0.08,0.11,2.3,0.14,21,1,0,23,0.6,156,325,27,0.8,21,0.06,207,166
"Torsk, filet, kokt",100,77,425,100,1.5,0.2,0,0.02,0.12,0.03,0,0.1,0.02,0.06,0.4,0,0,0,0,0,0.02,0.09,0.02,0.26,0.36,0.03,93,0,0,0,0,0,21.8,0.3,0,8,8,0,0.8,1.2,0.07,0.05,2.2,0.14,13,1.7,0,18,0.2,103,533,35,0.6,36,0.03,299,325
"Torsk, filet, melpanert, stekt i fett",100,69,644,153,5.9,1.5,0.17,0.16,0.59,0.32,0,2.2,0.04,2.11,1.3,0.79,0.18,0,0,0,0.01,0.07,0.01,0.21,0.48,0.81,74,3.1,3,0,0,0,21.9,0.2,0,22,21,7,1,1.1,0.07,0.06,2.2,0.13,12,1.5,0,16,0.2,97,475,30,0.5,31,0.03,250,279
"Torsk, filet, ovnsstekt",100,72,598,142,6,1.5,0.18,0.16,0.6,0.33,0,2.2,0.04,2.17,1.2,0.78,0.19,0,0,0,0.01,0.07,0.01,0.2,0.48,0.8,76,0,0,0,0,0,22.1,0.3,0,33,32,13,1,1.6,0.05,0.05,2,0.14,12,1.6,0,15,0.1,100,483,29,0.5,32,0.03,253,288
"Torsk, filet, stekt i panne",100,68,656,156,5.9,1.5,0.17,0.16,0.59,0.32,0,2.1,0.04,2.1,1.3,0.8,0.18,0,0,0,0.01,0.08,0.01,0.21,0.48,0.81,73,3.8,3.8,0,0,0,21.8,0.2,0,21,21,7,1,1.1,0.07,0.06,2.2,0.13,12,1.5,0,16,0.2,96,474,30,0.5,31,0.03,250,277
"Torsk, forfritert, fylt, fryst",100,70,598,143,6.8,2.7,0,0.04,1.42,0.21,0.1,2.1,0.02,3.02,1,0.85,0.18,0,0,0,0,0.02,0,0.05,0.25,0.85,39,9.6,9.1,0.5,0,0,10.6,0.9,0,14,13,6,0.8,0.6,0.11,0.15,1.3,0.07,7,1.2,0,41,0.1,375,222,22,0.5,15,0.04,122,81
"Torsk, lettsaltet, kokt",,77,419,99,1.4,0.1,0,0.01,0.12,0.03,0,0.1,0.01,0.06,0.4,0,0,0,0,0,0.01,0.09,0.01,0.25,0.35,0.03,91,0,0,0,0,0,21.5,2.2,0,8,8,0,0.8,1.1,0.07,0.05,2.1,0.14,13,1.7,0,18,0.2,881,527,36,0.6,36,0.03,295,320
"Torsk, panert, Findus Steketorsk",100,67,571,135,0.5,0.1,0,0,0.09,0.01,0,0.1,0.01,0.05,0.3,0.14,0.01,0,0,0,0.01,0.05,0,0.11,0.18,0.15,42,17.6,16,1.6,0,1,14.3,0.4,0,1,1,0,0,0.5,0.09,0.04,1.2,0.12,8,0.9,0,16,0.4,150,280,22,0.4,14,0.05,160,47
"Torsk, panert, forfritert, fylt, ovnsstekt uten fett",100,70,654,156,7.2,2.9,0,0.04,1.5,0.22,0.1,2.2,0.02,3.19,1.1,0.9,0.19,0,0,0,0,0.02,0,0.05,0.27,0.9,45,11,10.5,0.6,0,0,11.6,0.9,0,14,13,6,0.8,0.6,0.09,0.14,1.2,0.07,6,1.2,0,47,0.1,366,217,23,0.6,17,0.04,126,93
"Torsk, panert, forfritert, fylt, stekt i fett",100,65,884,212,14.2,4.9,0.27,0.26,2.27,0.68,0.1,5.4,0.06,6.29,2.4,2.05,0.47,0,0,0,0,0.02,0,0.05,0.54,2.04,45,10.2,9.7,0.6,0,0,10.7,0.9,0,36,35,17,1.3,0.9,0.09,0.14,1.2,0.06,6,1.1,0,44,0.1,365,201,21,0.5,16,0.04,117,86
"Torsk, panert, forfritert, ovnsstekt uten fett",100,64,662,157,3.5,0.8,0.02,0.03,0.68,0.17,0,1,0.04,0.98,1,0.48,0.03,0,0,0,0.03,0.04,0.01,0.14,0.23,0.55,89,13.3,13,0.3,0,2,17.2,0.3,0,25,25,0,0.7,1.4,0.08,0.11,2.3,0.17,22,1.1,0,24,0.7,140,351,30,0.8,23,0.06,224,179
"Torsk, panert, forfritert, stekt i fett",100,60,886,212,10.6,2.9,0.29,0.25,1.44,0.64,0,4.2,0.08,4.15,2.4,1.65,0.32,0,0,0,0.03,0.04,0.01,0.13,0.5,1.7,86,12.3,12,0.3,0,2,15.9,0.4,0,47,46,12,1.2,1.6,0.08,0.11,2.3,0.14,21,1,0,23,0.6,156,325,27,0.8,21,0.06,207,166
"Torsk, skiver, kokt",,77,425,100,1.5,0.2,0,0.02,0.12,0.03,0,0.1,0.02,0.06,0.4,0,0,0,0,0,0.02,0.09,0.02,0.26,0.36,0.03,97,0,0,0,0,0,21.8,0.3,0,8,8,0,0.8,1.8,0.06,0.13,2.3,0.23,8,1.7,0,18,0.2,103,533,35,0.6,41,0.03,299,325
Tørrfisk,,20,1386,327,1.4,0.2,0,0.02,0.22,0.06,0,0.2,0.02,0.18,0.8,0.01,0,0,0,0.01,0.03,0.14,0.02,0.38,0,0.04,152,0,0,0,0,0,78.5,0.1,0,0,0,0,0.4,0.1,0.01,0.24,7.5,0.02,0,10,0,160,2.5,35,,8,0.4,25,0.18,950,155
"Uer, kokt",100,74,519,123,4.2,0.8,0,0.15,0.49,0.1,0,1.9,0.4,0.54,1,0.03,0.01,0,0,0.03,0.07,0.46,0.16,0.37,1.13,0.12,72,0,0,0,0,0,21.4,0.4,0,5,5,0,0,2.4,0.13,0.13,2.3,0.23,6,1.3,0,35,0.3,156,473,37,0.5,75,0.15,269,32
"Uer, lettsaltet, skiver, kokt",,74,519,123,4.2,0.8,0,0.07,0.58,0.1,0,1.9,0.13,0.68,1,0.06,0.03,0,0,0.04,0.1,0.29,0.08,0.66,1.14,0.17,72,0,0,0,0,0,21.4,2.4,0,5,5,0,0,2.4,0.13,0.13,2.3,0.23,6,1.3,0,35,0.3,978,473,37,0.5,75,0.15,269,32
