FoodName,Spiselig del %,Vann,Kilojoule kJ,Kilokalorier kcal,Fett,Mettet,C12:0 g,C14:0,C16:0,C18:0,Trans,Enumettet,C16:1 sum,C18:1 sum,Flerumettet,C18:2n-6,C18:3n-3,C20:3n-3,C20:3n-6,C20:4n-3,C20:4n-6,C20:5n-3 (EPA),C22:5n-3 (DPA),C22:6n-3 (DHA),Omega-3,Omega-6,Kolesterol mg,Karbohydrat,Stivelse,Mono+disakk,"Sukker, tilsatt",Kostfiber,Protein,Salt,Alkohol,Vitamin A RAE,Retinol µg,Beta-karoten µg,Vitamin D µg,Vitamin E alfa-TE,Tiamin mg,Riboflavin mg,Niacin mg,Vitamin B6 mg,Folat µg,Vitamin B12 µg,Vitamin C mg,Kalsium mg,Jern mg,Natrium mg,Kalium mg,Magnesium mg,Sink mg,Selen µg,Kopper mg,Fosfor mg,Jod µg
"Nypesuppe, av pulver",100,90,172,41,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0,9.7,0,9.7,9.3,1,0.1,0,0,7,0,79,0,0,0,0.03,0,0,0,0,26,21,0.2,4,64,5,0,0,0,5,0
"Pesto, grønn, hjemmelaget",100,19,2560,621,61.5,9.8,0.18,0.53,6.17,2.07,0.2,33.4,0.38,32.53,11.3,10.75,0.3,0,0,0,0,0,0,0,0.31,10.87,16,4.2,2.4,1.8,0,2,11.4,1.1,0,88,63,301,0.1,9.7,0.17,0.15,1.2,0.12,28,0.6,3,194,2.1,433,292,81,2.9,3,0.54,288,12
"Pesto, grønn, kjøpt",100,32,2132,517,52.9,6.7,0.06,0.18,3.56,2.04,0.1,16.9,0.05,16.86,27.3,26.91,0.22,0,0,0,0,0,0,0,0.33,26.91,5,4.6,2.7,1.9,1.1,1,5.2,3,0,105,22,1003,0,27.8,0.06,0.05,0.4,0.1,25,0.2,6,120,1.8,1220,180,57,1.2,1,0.41,123,6
"Potet- og purreløksuppe, hjemmelaget",100,88,270,65,3.6,1.7,0.08,0.26,0.8,0.3,0.1,1.2,0.06,1.09,0.4,0.25,0.1,0,0,0,0,0,0,0,0.1,0.22,6,6.1,4.3,1.8,0,1,1.5,0.8,0,35,30,63,0.1,0.4,0.03,0.05,0.5,0.06,11,0.1,4,33,0.3,314,189,13,0.2,0,0.04,40,7
"Sjysaus, av pulver",100,96,69,16,0.3,0,0,0,0.05,0.03,0,0.1,0,0.15,0.3,0.24,0,0,0,0,0,0,0,0,0,0.24,0,2.8,2.5,0.3,0.3,0,0.6,1,0,0,0,0,0,,0,0.02,0.5,,,,0,8,0.1,388,40,3,0.2,,,,13
Soyasaus,100,65,355,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,1.5,16.4,0,0,3,16.9,0,0,0,0,0,0,0.05,0.13,3.4,0.15,11,0,0,17,2.4,6760,180,37,0.2,1,0.01,47,
"Spinatsuppe, hjemmelaget",100,92,217,52,4.5,2.7,0.37,0.42,1.03,0.39,0.1,1.3,0.08,1.13,0.2,0.1,0.04,0,0,0,0,0,0,0,0.04,0.07,8,1.2,0.1,1.2,0.1,1,1.3,1.2,0,113,40,881,0.1,0.6,0.02,0.05,0.1,0.04,19,0,3,34,0.5,470,121,15,0.2,0,0.05,22,8
"Søtpotetsuppe, hjemmelaget",100,90,200,48,1.8,1.5,0.72,0.29,0.15,0.09,0,0.2,0,0.17,0.1,0.06,0.01,0,0,0,0,0,0,0,0.01,0.06,0,6.2,4,2.1,0,1,0.9,0.5,0,211,0,2537,0,0.2,0.03,0.03,0.3,0.06,4,0,1,15,0.6,191,137,13,0.2,0,0.07,26,4
"Tacosuppe, hjemmelaget",100,88,230,55,2.1,0.5,0,0.03,0.38,0.22,0,1,0.04,0.9,0.4,0.31,0.09,0,0,0,0,0,0,0,0.1,0.32,7,4.4,2.2,2.2,0.3,2,3.7,0.6,0,20,1,222,0,0.9,0.03,0.03,0.5,0.07,9,0.1,3,20,0.8,259,119,11,0.7,2,0.05,38,4
Teriyakisaus,100,73,476,112,0.8,0.1,0,0,0.1,0,0,0.2,0,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0.3,0,23,0,23,,0,3.2,6.2,0,0,0,4,0,0,0.01,0.11,0.4,0.09,16,0,0,8,0.7,2488,156,17,0.3,3,,54,2
"Tomatsuppe, av pulver",100,92,134,32,0.4,0,0,0,0.04,0.01,0,0.4,0,0.38,0.2,0.15,0.05,0,0,0,0,0,0,0,0.05,0.15,0,6,3.6,2.5,1.3,0,0.8,0.7,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0,14,0.1,292,126,5,0.1,0,0,0,0
"Tomatsuppe, med makaroni, av pulver",100,89,202,48,0.9,0.1,0,0,0.05,0.02,0,0.4,0,0.39,0.2,0.17,0.05,0,0,0,0,0,0,0,0.05,0.17,0,8.5,5.8,2.8,1.4,0,1.2,0.8,0,0,0,0,0,0,0.03,0.03,0.1,0,0,0,0,14,0.2,317,131,7,0.1,0,0.01,5,0
"Tomatsuppe, Rett i koppen",100,90,173,41,0.9,0,0,0,0.05,0.02,0,0.5,0,0.44,0.2,0.17,0.06,0,0,0,0,0,0,0,0.06,0.17,0,7,4.1,0,1.3,0,1.2,1,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,16,0.2,400,144,6,0.1,0,0,0,0
"Viltsaus, av pulver",100,87,291,70,3.9,2.4,0.12,0.38,1.1,0.4,0.1,0.9,0.09,0.79,0.1,0.09,0.02,0,0,0,0,0,0,0,0.02,0.05,9,5.8,3.2,2.6,0,0,2.7,0.1,0,52,50,21,0.1,0.1,0.03,0.09,0.1,0.02,2,0.3,0,77,0.1,23,108,6,0.2,1,0.01,67,10
Chiapudding,100,79,414,100,5.9,0.9,0.12,0.08,0.46,0.2,0,0.6,0.01,0.6,3.7,0.9,2.79,0,0,0,0,0,0,0,2.79,0.89,1,4.3,0.6,3.6,1.1,6,4.4,0.1,0,1,1,1,0.2,0,0.08,0.08,0.6,0.03,12,0.3,0,164,1,38,165,52,0.9,2,0.24,168,6
"Eggekrem, vaniljekrem",100,76,464,110,2.5,0.9,0.02,0.06,0.55,0.2,0,0.8,0.05,0.76,0.4,0.34,0.01,0,0,0,0.03,0,0,0.02,0.03,0.38,55,15.9,4.3,11.7,8,0,5.8,0.1,0,30,30,1,0.6,0.9,0.04,0.17,0.1,0.04,11,0.6,0,116,0.4,56,173,9,0.5,4,0.02,130,18
"Fromasj, av pulver",100,64,815,195,10,6.1,0.29,0.9,2.75,1.06,,2.5,0.15,2.29,0.4,0.3,0.04,0,0.01,0,0.03,0.01,0.01,0.02,0.08,0.34,,21.9,0,21.9,21.2,0,4.3,0,0,,,0,0,,0.05,0.18,0.1,,,0.6,0,130,0.1,,,,,,,,13
"Fruktsaus, av pulver",100,86,237,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,2.6,11.3,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Fruktsuppe, av pulver",100,86,226,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,6.4,6.2,6.2,1,0.1,0,0,7,0,80,0,0.2,0.01,0.01,0.1,0,0,0,0,7,0.5,0,0,2,0,0,0,0,0
"Gelé, av pulver",100,96,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Is, vegetabilsk fett, havrebasert, med smak",100,56,963,230,11,5.5,1.78,0.71,0.83,1.59,0,3.6,0.01,3.52,1.4,1.02,0.38,0,0,0,0,0,0,0,0.38,1.02,0,31.2,8.3,22.9,22.9,1,1,0.3,0,0,0,0,0,0,0,0,0,0,4,0,0,6,1.2,109,66,25,0.2,0,0,30,0
"Iskrem, fløte, med ekstra sjokolade",100,52,1129,271,17.5,10.4,0.25,0.81,4.38,3.77,0.2,5.2,0.2,4.63,0.5,0.55,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.48,18,24,1.3,22.6,18.2,1,4.2,0.1,0,70,64,67,0,0.2,0.05,0.19,0.3,0.04,4,0.4,3,99,0.6,49,213,23,0.6,2,0.1,120,12
"Iskrem, fløte, med sjokoladebiter",100,55,1010,241,12.6,7,0.36,1.09,3.46,1.55,0.4,3.6,0.18,2.97,0.3,0.35,0.05,0,0.01,0.01,0.03,0.01,0.01,0.02,0.22,0.26,29,28.1,0.2,27.9,19,1,3.5,0.1,0,105,100,55,0.1,0.3,0.07,0.15,0.2,0.09,3,0.5,0,114,0.7,40,242,29,0.7,0,0.15,129,8
